Sample	Queue Length	Avg Waiting Time
587458	2265		4626.113624684745
588540	2316		4579.074900987092
589454	2195		4438.742156869499
590463	2171		4343.060314014321
591482	2142		4254.484755330253
592502	2117		4157.590797986602
593572	2147		4221.682581223082
594580	2153		4250.665725875879
595580	2125		4198.693787882803
596629	2142		4300.216515666107
597611	2115		4281.717601303011
598603	2067		4272.904474128503
599596	2029		4186.034561283421
600563	1989		4077.2974820011295
601511	1920		4010.1764684140217
602554	1925		3836.0064853925724
603637	1949		3887.2476375740953
604646	1937		3885.6660507326014
605687	1953		3830.25541393389
606724	1950		3753.4084503266495
607769	1963		3889.19269254501
608806	1959		3838.744957129471
609829	1957		3828.0137480699923
610840	1957		3845.2763378084637
611815	1915		3856.622642958071
612731	1774		3767.20348690683
613802	1845		3770.3377766506746
614852	1863		3648.2038261943962
615841	1845		3681.660512176808
616764	1749		3671.36551016476
617765	1737		3603.026778383879
618803	1775		3591.1407300212886
619858	1788		3617.221775091253
620919	1826		3613.76482193172
621995	1877		3722.111783770146
622982	1853		3598.8484444573987
624090	1956		3740.8438528066035
625076	1921		3837.891711592907
626206	1994		4057.7742266247515
627207	1964		3975.6594414163847
628313	2032		4163.942170278635
629509	2191		4197.458585696295
630576	2239		4253.008787513012
631641	2294		4498.337301012361
632608	2252		4514.5621853962075
633608	2231		4549.323534048861
634614	2196		4403.5913662891835
635613	2186		4464.980316589354
636717	2238		4469.121018382721
637801	2275		4483.384729159065
638897	2334		4565.298922746908
639967	2351		4667.65994814178
641004	2363		4657.700956082204
642012	2315		4639.364621866727
643005	2265		4648.512876166496
644112	2323		4576.078683743486
645106	2300		4526.064780635061
646084	2268		4487.501707128016
647113	2260		4504.308872791706
648085	2215		4587.922207809519
649115	2234		4705.26976176654
650132	2242		4493.10045462125
651219	2290		4538.943367932923
652265	2297		4605.022037502611
653222	2222		4698.445832097437
654221	2211		4630.283748613903
655229	2217		4437.971555432072
656270	2216		4316.166763422079
657253	2169		4267.486599393422
658161	2069		4239.925305717392
659145	2019		4144.606606791727
660108	1953		4008.5726224670652
661144	1952		3983.6832775291987
662171	1951		3872.3888959975448
663167	1919		3911.677750141127
664100	1833		3775.7882782942615
665132	1845		3764.2922630971298
666118	1830		3739.0647115120664
667164	1853		3713.26379326405
668137	1817		3625.9890988753177
669108	1781		3532.0805937612895
670216	1864		3619.632338974625
671235	1836		3549.395426999312
672220	1792		3637.7899751570076
673149	1713		3604.4239458166994
674133	1693		3551.872976037208
675223	1750		3464.7798701922875
676250	1748		3408.6497415811755
677278	1774		3641.5714409784414
678332	1802		3634.5864920155145
679356	1788		3574.5713892697822
680376	1779		3563.027455188334
681420	1806		3603.571717216866
682398	1781		3443.8080792138353
683396	1756		3434.3342147544026
684405	1741		3475.2497051327955
685305	1630		3352.892429000465
686321	1605		3293.1242340477183
687317	1569		3191.7745789415203
688428	1642		3301.8388890642673
689416	1624		3234.540051317541
690499	1664		3250.3552507809363
691523	1688		3409.7085390267894
692520	1657		3342.132310213987
693590	1698		3335.4240073142573
694568	1653		3326.588623210555
695618	1689		3318.4789898551535
696627	1663		3231.684288986493
697573	1573		3221.794775545597
698514	1507		3082.951648958493
699437	1417		2848.5910507843364
700519	1460		2938.7971112111118
701548	1473		2889.663273954531
702464	1379		2739.518203845015
703467	1365		2733.72879668884
704507	1391		2655.6942039353307
705516	1386		2706.0791173609905
706540	1371		2676.9145306304563
707506	1332		2645.541239558719
708565	1374		2629.376501260791
709591	1376		2698.6943416437134
710520	1288		2720.4646990254987
711525	1263		2553.840744838817
712558	1260		2584.613792282762
713545	1219		2456.392241475871
714562	1224		2491.7493644512724
715572	1215		2416.7509390218183
716525	1162		2298.7429537326097
717528	1133		2273.069524011342
718558	1134		2192.551865254529
719618	1148		2259.807634564815
720705	1214		2349.583848092938
721683	1156		2325.3426567274146
722710	1173		2344.172923951177
723754	1215		2310.556894129142
724736	1145		2308.3169880995993
725735	1092		2168.945071916096
726709	1065		2163.2291929454077
727760	1089		2104.7790912277997
