Sample	Queue Length		Avg Waiting Time
279000	1		0.7868799336720258
280000	3		6.205788763938472
281000	0		0
282000	1		0.0
283000	1		0.0
284000	1		2.976561938296072
285000	0		0
286000	1		0.0
287000	1		0.0
288000	1		0.0
289000	0		0
290000	0		0
291000	1		0.0
292000	2		1.5518478635931388
293000	0		0
294000	0		0
295000	1		0.6638466622680426
296000	2		2.980770780472085
297000	2		1.908048887271434
298000	3		1.4274132649879903
299000	1		0.0
300000	0		0
301000	1		0.0
302000	0		0
303000	2		1.443501970730722
304000	1		0.0
305000	0		0
306000	1		0.0
307000	1		0.0
308000	0		0
309000	2		1.936279953457415
310000	0		0
311000	0		0
312000	0		0
313000	3		0.9282895654905587
314000	1		2.4674003296531737
315000	0		0
316000	1		0.0
317000	1		0.4359718922059983
318000	0		0
319000	2		2.0342697652522475
